"title,artist,album,duration,url"
"Mana,"""","""",""1:49"",""https://music.youtube.com/watch?v=W4i7AFfwDos&list=LM"""
"(Something),"""","""",""2:31"",""https://music.youtube.com/watch?v=KStzqp_AgnA&list=LM"""
"The Mighty Deep,"""","""",""2:40"",""https://music.youtube.com/watch?v=FRiBiH7f1O8&list=LM"""
"The Ordeal,"""","""",""7:18"",""https://music.youtube.com/watch?v=g2QvVRzmEtM&list=LM"""
"Memoire (Vinyl Version),"""","""",""3:28"",""https://music.youtube.com/watch?v=SS8DPPWT61I&list=LM"""
"Being a Teenager and the Awkwardness of Backseat Sex,"""","""",""8:48"",""https://music.youtube.com/watch?v=cO-s8g-QukA&list=LM"""
"Dull Knife Pt. I,"""","""",""5:01"",""https://music.youtube.com/watch?v=S-yqmJcQYdQ&list=LM"""
"Falling Apart,"""","""",""4:18"",""https://music.youtube.com/watch?v=tkNIOhkFrx0&list=LM"""
"Ghost Tears,"""","""",""4:15"",""https://music.youtube.com/watch?v=LYPfND0dK-w&list=LM"""
"The Sorrowbringer,"""","""",""2:24"",""https://music.youtube.com/watch?v=z_M812McCvo&list=LM"""
"Below the House,"""","""",""3:42"",""https://music.youtube.com/watch?v=73840AXmqZQ&list=LM"""
"Final Call,"""","""",""4:14"",""https://music.youtube.com/watch?v=mAwyOzP5Xr8&list=LM"""
"Burial,"""","""",""4:41"",""https://music.youtube.com/watch?v=F8W-NbjJGzE&list=LM"""
"Hyenas,"""","""",""5:22"",""https://music.youtube.com/watch?v=jI7F81-8JHY&list=LM"""
"If All Else Fails,"""","""",""3:25"",""https://music.youtube.com/watch?v=siMvVF7M0hU&list=LM"""
"Mend,"""","""",""3:43"",""https://music.youtube.com/watch?v=sYp-yyvqoUA&list=LM"""
"Chlorophyll,"""","""",""2:29"",""https://music.youtube.com/watch?v=P-PRmdHlrqw&list=LM"""
"Over,"""","""",""2:54"",""https://music.youtube.com/watch?v=g9hk1PO_qvE&list=LM"""
"See Through,"""","""",""3:42"",""https://music.youtube.com/watch?v=u4uah0lX2OU&list=LM"""
"Stratosphere,"""","""",""6:58"",""https://music.youtube.com/watch?v=Kt0EgzpyVgk&list=LM"""
"As the Sun Dies,"""","""",""3:58"",""https://music.youtube.com/watch?v=SzjklUu_yqU&list=LM"""
"supernAtural,"""","""",""2:39"",""https://music.youtube.com/watch?v=wahZsrpwF94&list=LM"""
"Spleen,"""","""",""3:18"",""https://music.youtube.com/watch?v=jJtl4Ctrceo&list=LM"""
"Devil in the details,"""","""",""3:37"",""https://music.youtube.com/watch?v=YTOblKaPK9Q&list=LM"""
"I Don't Want to Exist,"""","""",""2:04"",""https://music.youtube.com/watch?v=Si8pLbB25zA&list=LM"""
"The Other Side,"""","""",""4:40"",""https://music.youtube.com/watch?v=X1hbGdnivps&list=LM"""
"Killing,"""","""",""3:37"",""https://music.youtube.com/watch?v=pMhUQ8R8VLI&list=LM"""
"Waverer,"""","""",""2:55"",""https://music.youtube.com/watch?v=2VoeGIbwqTM&list=LM"""
"Vaf?r??nir,"""","""",""9:08"",""https://music.youtube.com/watch?v=euKQsZeXXpk&list=LM"""
"Naglfar, Ship of the Dead,"""","""",""3:33"",""https://music.youtube.com/watch?v=Meb8AKN2XyY&list=LM"""
"I Hels sk?te,"""","""",""4:41"",""https://music.youtube.com/watch?v=O08mYEqXpP0&list=LM"""
"L'Oratoire,"""","""",""4:57"",""https://music.youtube.com/watch?v=egzNumWzOxI&list=LM"""
"Ephialtes,"""","""",""5:54"",""https://music.youtube.com/watch?v=uZVr5w0Rxu4&list=LM"""
"Megaloschemos II,"""","""",""2:40"",""https://music.youtube.com/watch?v=ITvpi9uK6K8&list=LM"""
"Yekteniya IV,"""","""",""5:20"",""https://music.youtube.com/watch?v=o_rKSTh6ViE&list=LM"""
"Tretij Czas,"""","""",""5:00"",""https://music.youtube.com/watch?v=53dtLBhPi_A&list=LM"""
"Hellion,"""","""",""3:35"",""https://music.youtube.com/watch?v=SWFmXN5qY_U&list=LM"""
"Super Silver Haze,"""","""",""4:43"",""https://music.youtube.com/watch?v=2UqqRz76JsM&list=LM"""
"My Ashes,"""","""",""5:10"",""https://music.youtube.com/watch?v=QCW8PURg7s8&list=LM"""
"EQUALS,"""","""",""9:29"",""https://music.youtube.com/watch?v=lzk8knat8V0&list=LM"""
"Farewell,"""","""",""7:34"",""https://music.youtube.com/watch?v=3Ej-CcaHUKA&list=LM"""
